region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2588,MOSTAZAL,9853,2657,2281,128,1594,856,1063,1117,APRUEBO,9673,11438,9673,,.55334401,-1585
3008,DEL BIOBIO,2665,MULCHEN,10150,1351,3762,86,1830,465,822,1613,APRUEBO,7252,10136,7252,,.37848458,14
3008,DEL BIOBIO,2666,NACIMIENTO,10759,1367,3693,96,2874,548,836,1264,APRUEBO,7267,10403,7267,,.42153758,356
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2606,NANCAGUA,6336,1338,1661,60,1006,395,1064,1276,APRUEBO,5840,7059,5840,,.46662256,-723
3012,DE MAGALLANES Y DE LA ANTARTICA CHILENA,2756,NATALES,8281,2437,2039,91,980,722,573,1253,APRUEBO,6506,7798,6506,,.34814253,483
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2600,NAVIDAD,3077,807,761,53,204,217,527,622,APRUEBO,2322,2914,2322,,.46272454,163
3008,DEL BIOBIO,2667,NEGRETE,3792,350,1545,25,661,217,399,508,APRUEBO,2287,3704,2287,,.4156194,88
3016,DE ÑUBLE,2838,NINHUE,2455,253,824,15,191,105,320,697,APRUEBO,1353,1920,1353,,.31856644,535
3005,DE VALPARAISO,2562,NOGALES,9114,2325,1501,130,2388,899,925,1094,APRUEBO,9520,10812,9520,,.55043024,-1698
3009,DE LA ARAUCANIA,2685,NUEVA IMPERIAL,13484,2196,4696,178,1647,1011,1191,2301,APRUEBO,8765,12100,8765,,.39602175,1384
3011,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2743,O'HIGGINS,325,75,142,3,16,5,26,47,APRUEBO,153,236,153,,.33053222,89
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2589,OLIVAR,6280,1324,1701,46,1076,493,835,718,APRUEBO,5121,6485,5121,,.52710283,-205
3002,DE ANTOFAGASTA,2513,OLLAGUE,372,29,53,3,220,27,12,25,APRUEBO,317,379,317,,.21196868,-7
3005,DE VALPARAISO,2577,OLMUE,7980,1925,2624,101,893,561,1000,760,APRUEBO,5984,8031,5984,,.49816895,-51
3010,DE LOS LAGOS,2726,OSORNO,67989,14256,21365,838,9914,3309,7717,9994,APRUEBO,51694,70256,51694,,.4907693,-2267
3004,DE COQUIMBO,2536,OVALLE,37278,8759,7746,420,7709,2764,3734,5570,APRUEBO,34181,40319,34181,,.43821231,-3041
